"","price","amount"
"721","10382.50000000","0.03000000"
"722","10382.55000000","0.00101100"
"723","10382.59000000","0.00262800"
"724","10382.64000000","0.00096900"
"725","10382.65000000","0.00484000"
"726","10382.70000000","0.00110600"
"727","10382.93000000","0.00118400"
"728","10383.00000000","0.03624100"
"729","10383.12000000","0.00357600"
"730","10383.33000000","0.01300000"
"731","10383.39000000","0.00231600"
"732","10383.47000000","0.00891600"
"733","10383.50000000","0.00172600"
"734","10383.57000000","0.00436600"
"735","10383.68000000","5.49000000"
"736","10383.70000000","0.00135200"
"737","10383.83000000","0.00289000"
"738","10383.93000000","0.01484300"
"739","10384.00000000","0.19438900"
"740","10384.15000000","0.00096900"
"741","10384.16000000","0.01064600"
"742","10384.34000000","0.00823400"
"743","10384.35000000","0.00637200"
"744","10384.41000000","0.07707400"
"745","10384.46000000","0.01453600"
"746","10384.60000000","0.02905600"
"747","10384.61000000","0.01899500"
"748","10384.75000000","0.04096700"
"749","10384.81000000","0.00134500"
"750","10384.86000000","0.00341300"
"751","10384.89000000","0.00100000"
"752","10385.00000000","5.07872900"
"753","10385.06000000","0.01937000"
"754","10385.08000000","0.00497400"
"755","10385.10000000","0.02077200"
"756","10385.15000000","0.02500000"
"757","10385.17000000","0.00324200"
"758","10385.25000000","0.00463000"
"759","10385.26000000","0.00900500"
"760","10385.31000000","0.03370700"
"761","10385.32000000","0.00134600"
"762","10385.55000000","0.00110000"
"763","10385.69000000","0.00112300"
"764","10385.84000000","0.00780000"
"765","10386.00000000","2.52858400"
"766","10386.05000000","0.00446800"
"767","10386.19000000","0.04447600"
"768","10386.20000000","0.05000000"
"769","10386.35000000","0.00970600"
"770","10386.39000000","0.00800000"
"771","10386.45000000","0.00208400"
"772","10386.46000000","0.00138200"
"773","10386.51000000","0.00876200"
"774","10386.60000000","0.00159100"
"775","10386.66000000","0.00105300"
"776","10386.75000000","0.00322800"
"777","10386.88000000","0.03053300"
"778","10387.00000000","0.56371900"
"779","10387.07000000","0.00197600"
"780","10387.20000000","0.00184800"
